tweet_id,favorites,retweets,user_followers,user_favourites,date_time
689557536375177216,1920,415,9208008,146963,2016-01-19 21:18:22
689517482558820352,3171,1313,9208008,146963,2016-01-19 18:39:13
689289219123089408,2088,858,9208008,146963,2016-01-19 03:32:10
689283819090870273,3045,1013,9208008,146963,2016-01-19 03:10:43
689280876073582592,1841,646,9208008,146963,2016-01-19 02:59:01
689275259254616065,1065,230,9208008,146963,2016-01-19 02:36:42
689255633275777024,2384,988,9208008,146963,2016-01-19 01:18:43
689154315265683456,2878,909,9208493,146967,2016-01-18 18:36:07
689143371370250240,1880,463,9208008,146963,2016-01-18 17:52:38
688916208532455424,2526,781,9208008,146963,2016-01-18 02:49:58
688908934925697024,1959,711,9208008,146963,2016-01-18 02:21:04
688898160958271489,1946,716,9208008,146963,2016-01-18 01:38:15
688894073864884227,2078,629,9208008,146963,2016-01-18 01:22:00
688828561667567616,1291,329,9208008,146963,2016-01-17 21:01:41
688804835492233216,896,172,9208008,146963,2016-01-17 19:27:24
688789766343622656,2074,608,9208008,146963,2016-01-17 18:27:32
688547210804498433,2424,636,9208008,146963,2016-01-17 02:23:42
688519176466644993,2171,668,9208008,146963,2016-01-17 00:32:18
688385280030670848,8643,4113,9208008,146963,2016-01-16 15:40:14
688211956440801280,2102,769,9208008,146963,2016-01-16 04:11:31
688179443353796608,1997,538,9208008,146963,2016-01-16 02:02:19
688116655151435777,2638,706,9208008,146963,2016-01-15 21:52:49
688064179421470721,1618,328,9208008,146963,2016-01-15 18:24:18
687841446767013888,5065,2277,9208008,146963,2016-01-15 03:39:15
687826841265172480,2539,1018,9208008,146963,2016-01-15 02:41:12
687818504314159109,2301,876,9208008,146963,2016-01-15 02:08:05
687807801670897665,2213,662,9208008,146963,2016-01-15 01:25:33
687732144991551489,1642,608,9208008,146963,2016-01-14 20:24:55
687704180304273409,2264,773,9208008,146963,2016-01-14 18:33:48
687664829264453632,1814,476,9208008,146963,2016-01-14 15:57:26
687494652870668288,1774,533,9208008,146963,2016-01-14 04:41:12
687480748861947905,1490,222,9208008,146963,2016-01-14 03:45:57
687476254459715584,1844,488,9208008,146963,2016-01-14 03:28:06
687460506001633280,1923,496,9208008,146963,2016-01-14 02:25:31
687399393394311168,1767,563,9208008,146963,2016-01-13 22:22:41
687317306314240000,18829,8425,9208008,146963,2016-01-13 16:56:30
687312378585812992,4060,1757,9208008,146963,2016-01-13 16:36:55
687127927494963200,5022,2076,9208008,146963,2016-01-13 04:23:58
687124485711986689,2038,465,9208008,146963,2016-01-13 04:10:18
687109925361856513,5414,2262,9208008,146963,2016-01-13 03:12:26
687102708889812993,2184,880,9208008,146963,2016-01-13 02:43:46
687096057537363968,2096,556,9208008,146963,2016-01-13 02:17:20
686947101016735744,8061,2935,9208008,146963,2016-01-12 16:25:26
686760001961103360,3270,1273,9208008,146963,2016-01-12 04:01:58
686749460672679938,3235,1329,9208008,146963,2016-01-12 03:20:05
686730991906516992,3843,1104,9208008,146963,2016-01-12 02:06:41
686683045143953408,2634,741,9208008,146963,2016-01-11 22:56:10
686618349602762752,3441,1252,9208008,146963,2016-01-11 18:39:05
686606069955735556,1767,499,9208008,146963,2016-01-11 17:50:18
686394059078897668,1618,637,9208008,146963,2016-01-11 03:47:50
686386521809772549,3034,799,9208008,146963,2016-01-11 03:17:53
686377065986265092,2070,517,9208008,146963,2016-01-11 02:40:19
686358356425093120,2018,607,9208008,146963,2016-01-11 01:25:58
686286779679375361,3754,1541,9208008,146963,2016-01-10 20:41:33
686050296934563840,2082,671,9208008,146963,2016-01-10 05:01:51
686035780142297088,1073,107,9208008,146963,2016-01-10 04:04:10
686034024800862208,2871,1050,9208008,146963,2016-01-10 03:57:12
686007916130873345,2303,369,9208008,146963,2016-01-10 02:13:27
686003207160610816,1695,565,9208008,146963,2016-01-10 01:54:44
685973236358713344,1953,479,9208008,146963,2016-01-09 23:55:38
685943807276412928,1517,539,9208008,146963,2016-01-09 21:58:42
685906723014619143,6955,2614,9208008,146963,2016-01-09 19:31:20
685681090388975616,1905,110,9208008,146963,2016-01-09 04:34:45
685667379192414208,2204,512,9208008,146963,2016-01-09 03:40:16
685663452032069632,2993,1343,9208008,146963,2016-01-09 03:24:40
685641971164143616,2715,703,9208008,146963,2016-01-09 01:59:19
685547936038666240,30649,14255,9208008,146963,2016-01-08 19:45:39
685532292383666176,2837,1056,9208008,146963,2016-01-08 18:43:29
685325112850124800,8762,3615,9208008,146963,2016-01-08 05:00:14
685321586178670592,2469,586,9208008,146963,2016-01-08 04:46:13
685315239903100929,3068,953,9208008,146963,2016-01-08 04:21:00
685307451701334016,1944,401,9208008,146963,2016-01-08 03:50:03
685268753634967552,2875,1088,9208008,146963,2016-01-08 01:16:17
685198997565345792,2163,597,9208008,146963,2016-01-07 20:39:06
685169283572338688,3822,1290,9208410,146963,2016-01-07 18:41:01
684969860808454144,2228,329,9208008,146963,2016-01-07 05:28:35
